LON,LAT,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,NUMBER,HASH
-79.5434954,43.5934445,Lloyd George Ave,,Etobicoke,,,,,3,8acf99afdb870ad6
-79.4190152,43.6692957,Clinton St,,former Toronto,,,,,537,91cfaa5d8552de5c
-79.4047859,43.704351,Eastbourne Ave,,former Toronto,,,,,146,d87f37e0841d0846
-79.51097,43.6985296,Weston Rd,,York,,,,,1745-1749,41980363c27e413f
-79.2849799,43.7813178,Cowdray Crt,,Scarborough,,,,,80,233db10ca53191d6
-79.340217,43.6669942,Pape Ave,,former Toronto,,,,,306,0f67b23e02dc6534
-79.4485815,43.6406148,Marion St,,former Toronto,,,,,181,7c45d472448ffa82
-79.4286096,43.6598864,Dovercourt Rd,,former Toronto,,,,,695,75019344cadd6e69
-79.3938396,43.7011464,Belsize Dr,,former Toronto,,,,,68,fa6dae0c3e375eec
-79.2847058,43.8113303,Cleadon Rd,,Scarborough,,,,,1,6552ca2a95d471e5
-79.4333159,43.6995032,Eglinton Ave W,,former Toronto,,,,,1180,196cc95a3e3fe8b6
-79.5566765,43.7013405,St Georges Blvd,,Etobicoke,,,,,61,070316f3952b6cbd
-79.2454173,43.7062009,Scarboro Cres,,Scarborough,,,,,120,c8cb57ef564c7e17
-79.3962038,43.644925,King St W,,former Toronto,,,,,461,5c892b7d269d1df8
-79.4152543,43.7029675,Eglinton Ave W,,former Toronto,,,,,579,f6f322afe2128269
-79.5363099,43.6892867,Tewsley Pl,,Etobicoke,,,,,9,166e3e345463dff4
-79.3138088,43.6858795,Danforth Ave,,former Toronto,,,,,2062,00cfca36604b314d
-79.4421711,43.6933961,Vaughan Rd,,York,,,,,649,e92095421fef735d
-79.5075351,43.7034932,MacDonald Ave,,York,,,,,83,2d2d01ad91185478
-79.2904035,43.6780843,Balsam Ave,,former Toronto,,,,,181,51f3bebff779ab22
-79.2700811,43.7486539,Jenkinson Way,,Scarborough,,,,,106,2a370d8f044c992e
-79.3212474,43.743065,Roanoke Rd,,North York,,,,,66,27c70cf283e5b4b0
-79.3736595,43.7449053,Sandfield Rd,,North York,,,,,54,1e1b9cc56cc61507
-79.3636759,43.7571669,Riderwood Dr,,North York,,,,,51,9381cd1d0014822e
